2026-07-30 23:04:33 | INFO    | pipeline.phase8_train |     USDJPY a2c: 225,000/500,000 (45%) -- 12.4m elapsed, ~15.2m remaining
2026-07-30 23:05:47 | INFO    | pipeline.phase8_train |     USDJPY a2c: 250,000/500,000 (50%) -- 13.7m elapsed, ~13.7m remaining
2026-07-30 23:07:03 | INFO    | pipeline.phase8_train |     USDJPY a2c: 275,000/500,000 (55%) -- 14.9m elapsed, ~12.2m remaining
2026-07-30 23:08:28 | INFO    | pipeline.phase8_train |     USDJPY a2c: 300,000/500,000 (60%) -- 16.3m elapsed, ~10.9m remaining
2026-07-30 23:10:11 | INFO    | pipeline.phase8_train |     USDJPY a2c: 325,000/500,000 (65%) -- 18.0m elapsed, ~9.7m remaining
2026-07-30 23:11:29 | INFO    | pipeline.phase8_train |     USDJPY a2c: 350,000/500,000 (70%) -- 19.4m elapsed, ~8.3m remaining
2026-07-30 23:12:47 | INFO    | pipeline.phase8_train |     USDJPY a2c: 375,000/500,000 (75%) -- 20.7m elapsed, ~6.9m remaining
2026-07-30 23:14:09 | INFO    | pipeline.phase8_train |     USDJPY a2c: 400,000/500,000 (80%) -- 22.0m elapsed, ~5.5m remaining
2026-07-30 23:15:36 | INFO    | pipeline.phase8_train |     USDJPY a2c: 425,000/500,000 (85%) -- 23.5m elapsed, ~4.1m remaining
2026-07-30 23:17:08 | INFO    | pipeline.phase8_train |     USDJPY a2c: 450,000/500,000 (90%) -- 25.0m elapsed, ~2.8m remaining
2026-07-30 23:18:33 | INFO    | pipeline.phase8_train |     USDJPY a2c: 475,000/500,000 (95%) -- 26.4m elapsed, ~1.4m remaining
2026-07-30 23:19:33 | INFO    | pipeline.phase8_train |     USDJPY a2c: 500,000/500,000 (100%) -- 27.4m elapsed, ~0.0m remaining
2026-07-30 23:19:38 | INFO    | pipeline.phase8_train |     USDJPY a2c: saved to D:\Projects\forex\data\trained_models\USDJPY\a2c\model.zip (1650.5s)
2026-07-30 23:19:38 | INFO    | pipeline.phase8_train | [Phase 8: Model Training] Completed in 65m 31.3s
