base_symbol,actual_symbol,digits,point,trade_tick_size,trade_tick_value,contract_size,volume_min,volume_max,volume_step,currency_base,currency_profit,currency_margin,samples,spread_min_points,spread_median_points,spread_mean_points,spread_p75_points,spread_p90_points,spread_p95_points,spread_p99_points,spread_max_points,live_bid,live_ask,live_spread_price,live_spread_points,live_vs_p95,audit_time_utc
GBPNZD,GBPNZDm,5,1e-05,1e-05,0.5917100000000001,100000.0,0.01,200.0,0.01,GBP,NZD,GBP,5000,23.99999999997959,23.99999999997959,24.000000000000178,24.000000000024,24.000000000024,24.000000000024,24.000000000024,24.000000000024,2.28911,2.2893499999999998,0.00023999999999979593,23.99999999997959,0.9999999999981496,2026-08-31T17:07:14.677831+00:00
AUDJPY,AUDJPYm,3,0.001,0.001,0.6261779973575289,100000.0,0.01,200.0,0.01,AUD,JPY,AUD,5000,10.99999999999568,10.99999999999568,10.99999999999983,11.00000000000989,11.00000000000989,11.00000000000989,11.00000000000989,11.00000000000989,114.443,114.454,0.01099999999999568,10.99999999999568,0.9999999999987081,2026-08-31T17:07:16.234117+00:00
AUDCHF,AUDCHFm,5,1e-05,1e-05,1.2372103381295856,100000.0,0.01,200.0,0.01,AUD,CHF,AUD,5000,8.999999999992347,9.00000000000345,9.000000000000014,9.00000000000345,9.00000000000345,9.00000000000345,9.00000000000345,9.00000000000345,0.57916,0.57925,9.00000000000345e-05,9.00000000000345,1.0,2026-08-31T17:07:17.158906+00:00
AUDCAD,AUDCADm,5,1e-05,1e-05,0.7214226454568409,100000.0,0.01,200.0,0.01,AUD,CAD,AUD,5000,17.999999999995797,17.999999999995797,18.000000000000078,18.0000000000069,18.0000000000069,18.0000000000069,18.0000000000069,18.0000000000069,0.99325,0.99343,0.000180000000000069,18.0000000000069,1.0,2026-08-31T17:07:18.317167+00:00
AUDNZD,AUDNZDm,5,1e-05,1e-05,0.5917100000000001,100000.0,0.01,200.0,0.01,AUD,NZD,AUD,5000,17.999999999984695,18.0000000000069,17.9999999999997,18.0000000000069,18.0000000000069,18.0000000000069,18.0000000000069,18.0000000000069,1.21094,1.21112,0.000180000000000069,18.0000000000069,1.0,2026-08-31T17:07:19.309741+00:00
NZDJPY,NZDJPYm,3,0.001,0.001,0.6261701554780497,100000.0,0.01,200.0,0.01,NZD,JPY,NZD,5000,13.999999999995794,13.999999999995794,13.999999999999954,14.000000000010004,14.000000000010004,14.000000000010004,14.000000000010004,14.000000000010004,94.497,94.511,0.013999999999995794,13.999999999995794,0.9999999999989849,2026-08-31T17:07:20.406768+00:00
NZDCHF,NZDCHFm,5,1e-05,1e-05,1.237195031424754,100000.0,0.01,200.0,0.01,NZD,CHF,NZD,5000,13.999999999997346,13.999999999997346,14.00000000000003,14.000000000002897,14.000000000002897,14.000000000002897,14.000000000002897,14.000000000002897,0.47821,0.47835,0.00013999999999997348,13.999999999997346,0.9999999999996035,2026-08-31T17:07:21.104364+00:00
NZDCAD,NZDCADm,5,1e-05,1e-05,0.7214278500007216,100000.0,0.01,200.0,0.01,NZD,CAD,NZD,5000,17.999999999995797,17.999999999995797,18.00039999999993,18.0000000000069,18.0000000000069,18.0000000000069,18.0000000000069,19.999999999997797,0.82013,0.82031,0.00017999999999995797,17.999999999995797,0.9999999999993832,2026-08-31T17:07:21.843895+00:00
CADJPY,CADJPYm,3,0.001,0.001,0.6261740763932374,100000.0,0.01,200.0,0.01,CAD,JPY,CAD,5000,10.99999999999568,10.99999999999568,11.000000000000108,11.00000000000989,11.00000000000989,11.00000000000989,11.00000000000989,11.00000000000989,115.214,115.225,0.01099999999999568,10.99999999999568,0.9999999999987081,2026-08-31T17:07:22.860340+00:00
CADCHF,CADCHFm,5,1e-05,1e-05,1.237195031424754,100000.0,0.01,200.0,0.01,CAD,CHF,CAD,5000,7.999999999996898,7.999999999996898,8.000000000000004,8.000000000008,8.000000000008,8.000000000008,8.000000000008,8.000000000008,0.58307,0.58315,7.999999999996898e-05,7.999999999996898,0.9999999999986121,2026-08-31T17:07:23.785446+00:00
CHFJPY,CHFJPYm,3,0.001,0.001,0.6261740763932374,100000.0,0.01,200.0,0.01,CHF,JPY,CHF,5000,20.999999999986585,20.999999999986585,21.000000000000295,21.000000000015007,21.000000000015007,21.000000000015007,21.000000000015007,21.000000000015007,197.582,197.603,0.021000000000015007,21.000000000015007,1.0,2026-08-31T17:07:25.540351+00:00
XAUUSD,XAUUSDm,3,0.001,0.001,0.1,100.0,0.01,200.0,0.01,XAU,USD,XAU,5000,259.9999999993088,260.0000000002183,260.00000000000165,260.0000000002183,260.0000000002183,260.0000000002183,260.0000000002183,260.0000000002183,4431.716,4431.976,0.2599999999993088,259.9999999993088,0.9999999999965019,2026-08-31T17:07:37.246043+00:00
XAGUSD,XAGUSDm,3,0.001,0.001,5.0,5000.0,0.01,200.0,0.01,XAG,USD,XAG,5000,29.999999999986926,30.000000000001137,30.000000000000124,30.000000000001137,30.000000000001137,30.000000000001137,30.000000000001137,30.000000000001137,66.251,66.281,0.030000000000001137,30.000000000001137,1.0,2026-08-31T17:07:39.684362+00:00
XPTUSD,XPTUSDm,2,0.01,0.01,1.0,100.0,0.01,200.0,0.01,XPT,USD,XPT,5000,400.0,400.0,400.0,400.0,400.0,400.0,400.0,400.0,1788.46,1792.46,4.0,400.0,1.0,2026-08-31T17:07:41.855644+00:00
XPDUSD,XPDUSDm,2,0.01,0.01,1.0,100.0,0.01,200.0,0.01,XPD,USD,XPD,5000,600.0,600.0,600.0,600.0,600.0,600.0,600.0,600.0,1361.78,1367.78,6.0,600.0,1.0,2026-08-31T17:07:42.874350+00:00
USDTRY,USDTRYm,5,1e-05,1e-05,0.020709649267592903,100000.0,0.01,200.0,0.01,USD,TRY,USD,5000,5355.999999999738,5355.999999999738,5355.999999999999,5356.000000000449,5356.000000000449,5356.000000000449,5356.000000000449,5356.000000000449,48.23311,48.28667,0.05355999999999739,5355.999999999738,0.9999999999998672,2026-08-31T17:07:43.264291+00:00
USDZAR,USDZARm,5,1e-05,1e-05,0.0620591858455409,100000.0,0.01,200.0,0.01,USD,ZAR,USD,5000,389.99999999980156,390.00000000015683,877.2400000000009,1168.000000000191,1943.9999999999457,1943.9999999999457,1944.0000000003008,1944.0000000003008,16.10587,16.11755,0.011680000000001911,1168.000000000191,0.6008230452676048,2026-08-31T17:07:46.115647+00:00
EURNOK,EURNOKm,5,1e-05,1e-05,0.10689288050658674,100000.0,0.01,200.0,0.01,EUR,NOK,EUR,5000,959.9999999998942,975.999999999999,978.4476000000035,983.0000000000892,992.0000000001038,999.9999999999786,1019.999999999932,1032.0000000000107,10.849779999999999,10.85949,0.009710000000000107,971.0000000000107,0.9710000000000314,2026-08-31T17:07:47.315335+00:00
EURSEK,EURSEKm,5,1e-05,1e-05,0.1043763979913806,100000.0,0.01,200.0,0.01,EUR,SEK,EUR,5000,3070.9999999999122,3129.999999999988,3134.7795999999994,3149.9999999999413,3177.9999999999472,3190.999999999988,3218.0100000000316,3245.99999999986,11.10577,11.13666,0.030889999999999418,3088.9999999999413,0.9680350987151215,2026-08-31T17:07:49.134026+00:00
GBPSEK,GBPSEKm,5,1e-05,1e-05,0.10437596221590167,100000.0,0.01,200.0,0.01,GBP,SEK,GBP,5000,1775.9999999999109,1777.0000000000507,1776.958000000001,1777.0000000000507,1778.0000000000127,1778.0000000000127,1778.999999999975,1780.0000000001146,12.96134,12.97911,0.017770000000000508,1777.0000000000507,0.9994375703037334,2026-08-31T17:07:50.699681+00:00
GBPNOK,GBPNOKm,5,1e-05,1e-05,0.10689105236378874,100000.0,0.01,200.0,0.01,GBP,NOK,GBP,5000,2872.9999999999477,2874.0000000000873,2874.427999999999,2875.0000000000496,2876.000000000012,2876.000000000012,2877.0000000001514,2879.0000000000755,12.64503,12.67378,0.028750000000000497,2875.0000000000496,0.999652294853977,2026-08-31T17:07:52.678518+00:00
AUDSGD,AUDSGDm,5,1e-05,1e-05,0.7861140808754168,100000.0,0.01,200.0,0.01,AUD,SGD,AUD,5000,50.99999999998994,51.99999999999649,52.24939999999989,52.999999999991935,53.00000000000304,53.00000000000304,53.00000000000304,54.00000000000959,0.91089,0.91141,0.000520000000000076,52.00000000000759,0.981132075471785,2026-08-31T17:07:53.807644+00:00
NZDSGD,NZDSGDm,5,1e-05,1e-05,0.7861140808754168,100000.0,0.01,200.0,0.01,NZD,SGD,NZD,5000,90.99999999999663,92.00000000000318,91.9230000000001,92.00000000000318,92.00000000000318,92.00000000000318,92.99999999999864,94.00000000000519,0.7519,0.75282,0.0009200000000000319,92.00000000000318,1.0,2026-08-31T17:07:54.369211+00:00
SGDJPY,SGDJPYm,3,0.001,0.001,0.626142710446565,100000.0,0.01,200.0,0.01,SGD,JPY,SGD,5000,69.99999999999318,75.9999999999934,76.40539999999868,78.00000000000296,81.00000000000307,82.99999999999841,90.99999999999412,98.00000000001319,125.569,125.643,0.07399999999999807,73.99999999999807,0.8915662650602347,2026-08-31T17:07:55.221037+00:00
HKDJPY,HKDJPYm,3,0.001,0.001,0.6261387899241746,100000.0,0.01,200.0,0.01,HKD,JPY,HKD,5000,30.999999999998806,30.999999999998806,31.023199999999818,31.00000000000236,31.00000000000236,31.00000000000236,32.9999999999977,34.00000000000247,20.358,20.389,0.030999999999998806,30.999999999998806,0.9999999999998854,2026-08-31T17:07:55.742408+00:00
MXNJPY,MXNJPYm,4,0.0001,0.0001,0.06261387899241747,100000.0,0.01,200.0,0.01,MXN,JPY,MXN,5000,53.999999999998494,56.000000000011596,57.140599999999765,57.99999999998917,60.000000000002274,61.99999999999761,68.00000000000139,101.99999999999321,9.3916,9.3971,0.005499999999999616,54.99999999999616,0.8870967741935206,2026-08-31T17:07:56.479161+00:00
USDCNH,USDCNHm,5,1e-05,1e-05,0.1487957956259988,100000.0,0.01,200.0,0.01,USD,CNH,USD,5000,355.9999999999341,358.9999999999982,360.44360000000034,361.9999999999734,365.00000000003746,369.00000000006366,381.0000000000535,415.9999999999719,6.71704,6.72062,0.0035800000000003607,358.00000000003604,0.9701897018969492,2026-08-31T17:07:57.584151+00:00
USDHKD,USDHKDm,5,1e-05,1e-05,0.12754012093354267,100000.0,0.01,200.0,0.01,USD,HKD,USD,5000,388.99999999992826,391.9999999999923,444.3247999999992,392.99999999995447,403.1000000000165,874.0499999999552,1587.009999999961,1684.0000000000186,7.83675,7.84067,0.0039199999999999235,391.9999999999923,0.4484869286654224,2026-08-31T17:07:57.972386+00:00
USDSGD,USDSGDm,5,1e-05,1e-05,0.7861202606774785,100000.0,0.01,200.0,0.01,USD,SGD,USD,5000,122.99999999998423,124.99999999999733,124.77119999999984,124.99999999999733,125.00000000001953,126.00000000000388,127.00000000001043,129.00000000000134,1.27082,1.27207,0.0012499999999999734,124.99999999999733,0.9920634920634404,2026-08-31T17:07:58.890604+00:00
USDMXN,USDMXNm,5,1e-05,1e-05,0.0588134619309283,100000.0,0.01,200.0,0.01,USD,MXN,USD,5000,596.999999999781,622.0000000002557,631.4803999999989,639.9999999999295,668.9999999998975,694.0000000000168,748.0100000001003,835.0000000000078,16.9969,17.00294,0.006039999999998713,603.9999999998713,0.8703170028816378,2026-08-31T17:08:02.313272+00:00
USDTHB,USDTHBm,4,0.0001,0.0001,0.3001038359272308,100000.0,0.01,200.0,0.01,USD,THB,USD,5000,2999.9999999999714,2999.9999999999714,2999.999999999999,3000.0000000000423,3000.0000000000423,3000.0000000000423,3000.0000000000423,3000.0000000000423,33.0223,33.3223,0.29999999999999716,2999.9999999999714,0.9999999999999764,2026-08-31T17:08:03.625964+00:00
