trade_id,symbol,direction,entry_time,entry_price,stop_loss,take_profit,lot_size,confidence,strategy,exit_time,exit_price,exit_reason,pnl_pips,pnl_usd,commission_usd,slippage_pips,hold_bars
5,USDCAD,SELL,2023-02-01 10:00:00+00:00,1.32879,1.3299842857142856,1.3269985714285712,1.0,100,v11_recommended,2023-02-01 11:00:00+00:00,1.3299842857142856,SL,-15.442857142857033,-161.42857142857034,7.0,2.0,0
6,USDCAD,BUY,2023-03-02 18:00:00+00:00,1.36192,1.3593578571428573,1.3647110714285713,0.46,100,v11_recommended,2023-03-02 22:00:00+00:00,1.3593578571428573,SL,-29.12142857142735,-137.17857142856582,3.22,2.0,3
7,USDCAD,SELL,2023-04-13 09:00:00+00:00,1.34166,1.3427557142857143,1.3400164285714287,1.0,100,v11_recommended,2023-04-13 11:00:00+00:00,1.3400164285714287,TP,12.93571428571411,122.3571428571411,7.0,2.0,1
8,USDCAD,BUY,2023-10-02 12:00:00+00:00,1.36108,1.3594778571428572,1.3634832142857143,0.73,100,v11_recommended,2023-10-02 16:00:00+00:00,1.3634832142857143,TP,20.53214285714217,144.77464285713785,5.109999999999999,2.0,3
9,USDCAD,BUY,2024-04-05 20:00:00+00:00,1.35871,1.3568257142857143,1.3615364285714286,0.63,100,v11_recommended,2024-04-08 03:00:00+00:00,1.3615364285714286,TP,24.76428571428563,151.60499999999948,4.41,2.0,6
10,USDCAD,SELL,2024-04-25 20:00:00+00:00,1.36619,1.3679178571428572,1.3635982142857144,0.7,100,v11_recommended,2024-04-26 15:00:00+00:00,1.3635982142857144,TP,22.417857142856437,152.02499999999506,4.8999999999999995,2.0,18
11,USDCAD,SELL,2024-06-21 07:00:00+00:00,1.36761,1.3684964285714285,1.3662803571428572,1.0,100,v11_recommended,2024-06-21 10:00:00+00:00,1.3684964285714285,SL,-12.364285714285103,-130.64285714285103,7.0,2.0,2
12,USDCAD,BUY,2024-07-19 12:00:00+00:00,1.37211,1.3714307142857143,1.3731289285714285,1.0,100,v11_recommended,2024-07-19 13:00:00+00:00,1.3714307142857143,SL,-10.292857142856601,-109.92857142856602,7.0,2.0,0
13,USDCAD,SELL,2024-08-07 11:00:00+00:00,1.3751200000000001,1.3762635714285716,1.373404642857143,1.0,100,v11_recommended,2024-08-07 17:00:00+00:00,1.373404642857143,TP,13.65357142857199,129.5357142857199,7.0,2.0,5
14,USDCAD,SELL,2025-07-03 18:00:00+00:00,1.35569,1.3572350000000002,1.3533725,0.79,100,v11_recommended,2025-07-03 22:00:00+00:00,1.3572350000000002,SL,-18.950000000001296,-155.23500000001025,5.53,2.0,3
15,USDCAD,BUY,2026-05-15 07:00:00+00:00,1.37479,1.3736964285714286,1.376430357142857,1.0,100,v11_recommended,2026-05-15 13:00:00+00:00,1.3736964285714286,SL,-14.435714285713605,-151.35714285713604,7.0,2.0,5
1,NZDUSD,SELL,2022-07-14 16:00:00+00:00,0.60745,0.6092735714285715,0.6047146428571429,0.66,100,v11_recommended,2022-07-14 18:00:00+00:00,0.6092735714285715,SL,-21.7357142857148,-148.07571428571768,4.62,2.0,1
2,NZDUSD,SELL,2023-02-27 07:00:00+00:00,0.6130800000000001,0.614145,0.6114825,1.0,100,v11_recommended,2023-02-27 08:00:00+00:00,0.614145,SL,-14.149999999999826,-148.49999999999827,7.0,2.0,0
3,NZDUSD,SELL,2024-03-27 10:00:00+00:00,0.59958,0.600881,0.5985975,0.9,100,v11_recommended,2024-03-27 11:00:00+00:00,0.600881,SL,-16.509999999999966,-154.8899999999997,6.3,2.0,0
4,NZDUSD,BUY,2024-05-22 16:00:00+00:00,0.61203,0.6093561428571429,0.6140839285714286,0.43,100,v11_recommended,2024-05-22 21:00:00+00:00,0.6093561428571429,SL,-30.238571428570612,-133.03585714285362,3.01,2.0,4
5,NZDUSD,SELL,2024-07-15 18:00:00+00:00,0.60901,0.6103492857142857,0.6078903571428572,0.84,100,v11_recommended,2024-07-15 20:00:00+00:00,0.6078903571428572,TP,7.69642857142833,58.76999999999796,5.88,2.0,1
6,NZDUSD,SELL,2026-02-18 18:00:00+00:00,0.59619,0.5976064285714285,0.5940653571428571,0.8,100,v11_recommended,2026-02-19 04:00:00+00:00,0.5976064285714285,SL,-17.664285714285406,-146.91428571428324,5.6000000000000005,2.0,9
7,NZDUSD,BUY,2026-04-14 10:00:00+00:00,0.58893,0.5878435714285714,0.5905596428571428,1.0,100,v11_recommended,2026-04-14 14:00:00+00:00,0.5905596428571428,TP,12.796428571428432,120.96428571428433,7.0,2.0,3
8,NZDUSD,BUY,2026-04-17 20:00:00+00:00,0.59045,0.587662,0.59291,0.41,100,v11_recommended,2026-04-19 21:00:00+00:00,0.587662,SL,-31.380000000000127,-131.52800000000053,2.8699999999999997,2.0,3
