timestamp,date,hour,weekday,symbol,timeframe,raw_signal,decision,allowed,passed_checks,total_checks,failed_checks,n_failed_checks,confidence_pre_penalty,confidence_post_penalty,effective_min_confidence,entry_quality_penalty,entry_quality_failed_checks,entry_price,sl,tp,lot,risk_approved,risk_reject_reason,spread,session_regime,signal_source_module_votes,outcome
2026-08-10T11:03:44.300335+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,12,11,S/R zone alignment;Session quality;Confluence quality,3,40.7,32.7,55.0,8,tp_structure_validation;rejection_psychology,UNKNOWN,1.16957,1.16465,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:04:06.817486+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,13,11,Session quality;Confluence quality,2,40.0,32.0,55.0,8,sl_swing_anchor;rejection_psychology,UNKNOWN,1.1685,1.16337,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:04:29.292335+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,12,11,S/R zone alignment;Session quality;Confluence quality,3,46.4,38.4,55.0,8,tp_structure_validation;rejection_psychology,UNKNOWN,1.16992,1.16455,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:04:51.292516+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,12,11,Trend alignment (regime);Session quality;Confluence quality,3,46.4,33.4,55.0,13,tp_structure_validation;indicator_confluence;rejection_psychology,UNKNOWN,1.17131,1.16582,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:05:13.633665+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,13,11,Session quality;Confluence quality,2,54.3,31.299999999999997,55.0,23,sl_swing_anchor;tp_structure_validation;round_number_tp;rejection_psychology,UNKNOWN,1.17056,1.16504,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:05:36.356155+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,13,11,Session quality;Confluence quality,2,52.4,31.4,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16849,1.16198,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:05:59.261942+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,13,12,S/R zone alignment;Session quality;Confluence quality,3,52.0,31.0,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16721,1.16046,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:06:21.267574+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,14,12,Session quality;Confluence quality,2,48.7,27.700000000000003,55.0,21,sl_swing_anchor;tp_structure_validation;rejection_psychology,UNKNOWN,1.16843,1.16123,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:06:43.231164+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,15,12,S/R zone alignment,1,60.7,52.7,55.0,8,sl_swing_anchor;rejection_psychology,UNKNOWN,1.16674,1.15927,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:07:05.252429+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,15,12,S/R zone alignment,1,60.7,52.7,55.0,8,sl_swing_anchor;rejection_psychology,UNKNOWN,1.16584,1.15846,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
2026-08-10T11:07:25.877137+00:00,2026-08-10,11,Monday,EURUSD,UNKNOWN,SELL,BLOCKED_SELL,False,13,12,S/R zone alignment;Session quality;Confluence quality,3,52.0,44.0,55.0,8,sl_swing_anchor;rejection_psychology,UNKNOWN,1.16606,1.1588,0.1,True,,UNKNOWN,UNKNOWN,UNKNOWN,OUTCOME_NOT_AVAILABLE
