timeframe,pattern,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
M15,Three Black Crows,597,281,316,0,0.4707,0.431,0.5108,-0.0586,-1.0,-0.0586,-0.1391,0.0219,0.8892,-42.0,9,True,True,True,False,-0.374664418181507
H4,Piercing Line,38,17,21,0,0.4474,0.3015,0.6029,-0.1053,-1.0,-0.1053,-0.4211,0.2105,0.8095,-7.0,5,True,False,False,False,-0.38577304133745177
H1,Three Black Crows,235,109,126,0,0.4638,0.4012,0.5277,-0.0723,-1.0,-0.0723,-0.2,0.0553,0.8651,-20.0,7,True,True,False,False,-0.39503503950335167
M15,Morning Star,152,70,82,0,0.4605,0.3832,0.5398,-0.0789,-1.0,-0.0789,-0.2368,0.0789,0.8537,-23.0,7,True,True,False,False,-0.39690155199786314
H4,Evening Doji Star,36,16,20,0,0.4444,0.2954,0.6042,-0.1111,-1.0,-0.1111,-0.4444,0.2222,0.8,-8.0,5,True,False,False,False,-0.40117298009477337
M15,Hanging Man,193,89,104,0,0.4611,0.3923,0.5315,-0.0777,-1.0,-0.0777,-0.2124,0.057,0.8558,-28.0,14,True,True,False,False,-0.40931257895922063
H4,Tweezer Top,45,20,25,0,0.4444,0.3094,0.5882,-0.1111,-1.0,-0.1111,-0.3778,0.2,0.8,-5.0,5,True,False,False,False,-0.42536205914993847
H1,Tweezer Bottom,138,63,75,0,0.4565,0.3757,0.5397,-0.087,-1.0,-0.087,-0.2464,0.0725,0.84,-21.0,10,True,True,False,False,-0.42929923218237015
H4,Bearish Engulfing,70,31,39,0,0.4429,0.3325,0.5592,-0.1143,-1.0,-0.1143,-0.3429,0.1143,0.7949,-10.0,4,True,False,False,False,-0.48722430994582233
M15,Bullish Counterattack,259,118,141,0,0.4556,0.396,0.5165,-0.0888,-1.0,-0.0888,-0.2046,0.0347,0.8369,-27.0,7,True,True,False,False,-0.4937885288341789
