pattern,session,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Bullish Kicker,london_ny_overlap,178,93,85,0,0.5225,0.4494,0.5946,0.0449,1.0,0.0449,-0.1011,0.191,1.0941,-13.0,8,True,True,False,False,0.2329136226822499
Three White Soldiers,london_ny_overlap,109,57,52,0,0.5229,0.43,0.6143,0.0459,1.0,0.0459,-0.1376,0.2294,1.0962,-5.0,5,True,True,False,False,0.21575204878987195
Dark Cloud Cover,asian,150,78,72,0,0.52,0.4406,0.5985,0.04,1.0,0.04,-0.12,0.1867,1.0833,-10.0,4,True,True,False,False,0.20069119347259698
Bullish Separating Lines,new_york,38,20,18,0,0.5263,0.3726,0.6752,0.0526,1.0,0.0526,-0.2632,0.3684,1.1111,-7.0,3,True,False,False,False,0.19270334258641938
Shooting Star,asian,129,67,62,0,0.5194,0.4339,0.6038,0.0388,1.0,0.0388,-0.1318,0.2093,1.0806,-9.0,6,True,True,False,False,0.1888603366776766
Bullish Engulfing,new_york,159,82,77,0,0.5157,0.4386,0.5921,0.0314,1.0,0.0314,-0.1195,0.1824,1.0649,-12.0,7,True,True,False,False,0.15936045779834215
Hammer,new_york,56,29,27,0,0.5179,0.3901,0.6433,0.0357,1.0,0.0357,-0.25,0.2857,1.0741,-5.0,5,True,False,False,False,0.14433693026169345
Evening Star,new_york,60,31,29,0,0.5167,0.3931,0.6383,0.0333,1.0,0.0333,-0.2,0.3,1.069,-9.0,5,True,False,False,False,0.13689209967697127
Three Inside Up,asian,35,18,17,0,0.5143,0.3557,0.6701,0.0286,1.0,0.0286,-0.3143,0.3714,1.0588,-4.0,4,True,False,False,False,0.10248864163984475
Bearish Counterattack,london_ny_overlap,41,21,20,0,0.5122,0.3648,0.6575,0.0244,1.0,0.0244,-0.2683,0.3171,1.05,-8.0,7,True,False,False,False,0.09119913868611419
Bullish Counterattack,asian,173,88,85,0,0.5087,0.4348,0.5822,0.0173,1.0,0.0173,-0.1329,0.1676,1.0353,-18.0,6,True,True,False,False,0.08925165667641136
Tweezer Top,london_ny_overlap,53,27,26,0,0.5094,0.3788,0.6388,0.0189,1.0,0.0189,-0.2453,0.283,1.0385,-6.0,5,True,False,False,False,0.07539179848006479
Bearish Kicker,london,330,167,163,0,0.5061,0.4524,0.5596,0.0121,1.0,0.0121,-0.103,0.1212,1.0245,-21.0,8,True,True,True,False,0.07020563234206247
Bearish Engulfing,london,150,76,74,0,0.5067,0.4275,0.5855,0.0133,1.0,0.0133,-0.1467,0.1733,1.027,-8.0,5,True,True,False,False,0.06672982182963849
Bearish Counterattack,london,79,40,39,0,0.5063,0.3984,0.6137,0.0127,1.0,0.0127,-0.2152,0.2152,1.0256,-6.0,3,True,False,False,False,0.05565173826035829
Bearish Engulfing,london_ny_overlap,87,44,43,0,0.5057,0.4027,0.6083,0.0115,1.0,0.0115,-0.1954,0.2184,1.0233,-8.0,4,True,False,False,False,0.05148937336649938
Tweezer Top,new_york,113,57,56,0,0.5044,0.4136,0.5949,0.0088,1.0,0.0088,-0.1681,0.1858,1.0179,-10.0,7,True,True,False,False,0.041678546345871564
Evening Doji Star,london_ny_overlap,44,22,22,0,0.5,0.3583,0.6417,0.0,0.0,0.0,-0.3182,0.3182,1.0,-6.0,4,True,False,False,False,0.0
Three Outside Up,asian,42,21,21,0,0.5,0.3553,0.6447,-0.0,-0.0,-0.0,-0.2857,0.2857,1.0,-7.0,4,True,False,False,False,-0.0
Morning Star,london,52,26,26,0,0.5,0.3689,0.6311,-0.0,0.0,-0.0,-0.3077,0.2692,1.0,-10.0,7,True,False,False,False,-0.0
Inverted Hammer,asian,129,64,65,0,0.4961,0.4112,0.5813,-0.0078,-1.0,-0.0078,-0.1783,0.1628,0.9846,-11.0,7,True,True,False,False,-0.03796676871355354
Tweezer Bottom,new_york,117,58,59,0,0.4957,0.4067,0.585,-0.0085,-1.0,-0.0085,-0.1966,0.1795,0.9831,-13.0,7,True,True,False,False,-0.040550819307958154
Bullish Counterattack,london_ny_overlap,53,26,27,0,0.4906,0.3612,0.6212,-0.0189,-1.0,-0.0189,-0.283,0.2453,0.963,-5.0,4,True,False,False,False,-0.07539179848006479
Morning Doji Star,london,94,46,48,0,0.4894,0.3907,0.5888,-0.0213,-1.0,-0.0213,-0.234,0.1707,0.9583,-15.0,7,True,False,False,False,-0.09699757779109151
Hanging Man,london_ny_overlap,37,18,19,0,0.4865,0.3345,0.6411,-0.027,-1.0,-0.027,-0.3514,0.2973,0.9474,-6.0,5,True,False,False,False,-0.09821482631261241
Hanging Man,london,62,30,32,0,0.4839,0.3641,0.6055,-0.0323,-1.0,-0.0323,-0.2903,0.2258,0.9375,-8.0,4,True,False,False,False,-0.13382325166244652
Hanging Man,asian,130,63,67,0,0.4846,0.4004,0.5697,-0.0308,-1.0,-0.0308,-0.2,0.1385,0.9403,-12.0,6,True,True,False,False,-0.15015607755459545
Shooting Star,new_york,50,24,26,0,0.48,0.348,0.6149,-0.04,-1.0,-0.04,-0.28,0.24,0.9231,-6.0,5,True,False,False,False,-0.15727302530897302
Hammer,london,66,31,34,1,0.4697,0.3543,0.5884,-0.0379,-1.0,-0.0379,-0.2879,0.2121,0.9265,-10.0,5,True,False,False,False,-0.1593578502749176
Bullish Engulfing,london_ny_overlap,83,40,43,0,0.4819,0.3776,0.5878,-0.0361,-1.0,-0.0361,-0.2295,0.1807,0.9302,-8.0,5,True,False,False,False,-0.1599524864382436
Morning Doji Star,asian,188,91,97,0,0.484,0.4136,0.5551,-0.0319,-1.0,-0.0319,-0.1809,0.1064,0.9381,-12.0,7,True,True,False,False,-0.16721172978040258
Evening Doji Star,asian,215,104,111,0,0.4837,0.4178,0.5502,-0.0326,-1.0,-0.0326,-0.1628,0.0977,0.9369,-26.0,10,True,True,False,False,-0.17523407609050376
Evening Doji Star,new_york,102,49,53,0,0.4804,0.3859,0.5763,-0.0392,-1.0,-0.0392,-0.2157,0.1569,0.9245,-11.0,7,True,True,False,False,-0.1816813763386017
Three Outside Down,asian,30,14,16,0,0.4667,0.3023,0.6386,-0.0667,-1.0,-0.0667,-0.4,0.2667,0.875,-6.0,4,True,False,False,False,-0.22904694653915925
Tweezer Bottom,london,122,58,64,0,0.4754,0.3889,0.5634,-0.0492,-1.0,-0.0492,-0.2295,0.1311,0.9063,-12.0,5,True,True,False,False,-0.23675947028432293
Three Black Crows,london_ny_overlap,110,52,58,0,0.4727,0.3819,0.5654,-0.0545,-1.0,-0.0545,-0.2364,0.1273,0.8966,-19.0,9,True,True,False,False,-0.2566693959715222
Three Black Crows,london,208,99,109,0,0.476,0.4091,0.5437,-0.0481,-1.0,-0.0481,-0.1827,0.0769,0.9083,-18.0,5,True,True,False,False,-0.2569662775195074
