pattern,month,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Three Black Crows,2018-02,105,49,56,0,0.4667,0.3741,0.5616,-0.0667,-1.0,-0.0667,-0.2571,0.1429,0.875,-16.0,5,True,True,False,False,-0.31105138757727485
Morning Doji Star,2018-01,46,21,25,0,0.4565,0.3215,0.5982,-0.087,-1.0,-0.087,-0.3913,0.2174,0.84,-10.0,7,True,False,False,False,-0.3349628413487751
Three Black Crows,2018-05,112,52,60,0,0.4643,0.3746,0.5563,-0.0714,-1.0,-0.0714,-0.2321,0.1071,0.8667,-14.0,5,True,True,False,False,-0.33753549025606117
Three Black Crows,2018-07,106,49,57,0,0.4623,0.3703,0.5568,-0.0755,-1.0,-0.0755,-0.2642,0.1132,0.8596,-12.0,5,True,True,False,False,-0.3527985770018739
Tweezer Bottom,2018-06,72,33,39,0,0.4583,0.3483,0.5726,-0.0833,-1.0,-0.0833,-0.3056,0.1667,0.8462,-9.0,5,True,False,False,False,-0.357395271447661
Bearish Engulfing,2018-02,102,47,55,0,0.4608,0.3672,0.5572,-0.0784,-1.0,-0.0784,-0.2745,0.0985,0.8545,-21.0,5,True,True,False,False,-0.3633627526772034
Evening Doji Star,2018-07,66,30,36,0,0.4545,0.3402,0.5739,-0.0909,-1.0,-0.0909,-0.3333,0.1515,0.8333,-6.0,5,True,False,False,False,-0.3822065591026388
Tweezer Top,2018-04,62,28,34,0,0.4516,0.3342,0.5747,-0.0968,-1.0,-0.0968,-0.3548,0.1613,0.8235,-9.0,5,True,False,False,False,-0.40105544151470035
Three Black Crows,2018-10,32,14,18,0,0.4375,0.2817,0.6067,-0.125,-1.0,-0.125,-0.4375,0.1875,0.7778,-5.0,5,True,False,False,False,-0.43706344518331003
Evening Star,2018-07,30,13,17,0,0.4333,0.2738,0.608,-0.1333,-1.0,-0.1333,-0.4667,0.2,0.7647,-8.0,5,True,False,False,False,-0.45775049435787
Hammer,2018-03,30,13,17,0,0.4333,0.2738,0.608,-0.1333,-1.0,-0.1333,-0.4667,0.2,0.7647,-9.0,4,True,False,False,False,-0.45775049435787
Bullish Engulfing,2018-02,70,31,39,0,0.4429,0.3325,0.5592,-0.1143,-1.0,-0.1143,-0.3429,0.1143,0.7949,-14.0,5,True,False,False,False,-0.48722430994582233
Inverted Hammer,2018-07,37,16,21,0,0.4324,0.2867,0.5909,-0.1351,-1.0,-0.1351,-0.4595,0.1892,0.7619,-5.0,5,True,False,False,False,-0.4914378901790347
Bullish Engulfing,2018-05,90,40,50,0,0.4444,0.3462,0.5473,-0.1111,-1.0,-0.1111,-0.3111,0.0889,0.8,-15.0,7,True,False,False,False,-0.5011564911740221
Bearish Counterattack,2018-02,35,15,20,0,0.4286,0.2798,0.5914,-0.1429,-1.0,-0.1429,-0.4857,0.2,0.75,-7.0,6,True,False,False,False,-0.5120848563053781
Bullish Kicker,2018-07,166,74,92,0,0.4458,0.3722,0.5218,-0.1084,-1.0,-0.1084,-0.253,0.0361,0.8043,-24.0,7,True,True,False,False,-0.5547905292659763
Piercing Line,2018-01,40,17,23,0,0.425,0.2851,0.5781,-0.15,-1.0,-0.15,-0.45,0.15,0.7391,-10.0,8,True,False,False,False,-0.5570358100056462
Bullish Kicker,2018-04,180,80,100,0,0.4444,0.3738,0.5174,-0.1111,-1.0,-0.1111,-0.2556,0.0336,0.8,-26.0,8,True,True,False,False,-0.5775530201736333
Inverted Hammer,2018-04,45,19,26,0,0.4222,0.2897,0.567,-0.1556,-1.0,-0.1556,-0.4222,0.1556,0.7308,-8.0,5,True,False,False,False,-0.5957366012937031
Hanging Man,2018-06,43,18,25,0,0.4186,0.2838,0.5667,-0.1628,-1.0,-0.1628,-0.4419,0.1163,0.72,-10.0,4,True,False,False,False,-0.6160660724018929
Bearish Engulfing,2018-01,87,37,50,0,0.4253,0.3267,0.5302,-0.1494,-1.0,-0.1494,-0.3563,0.0575,0.74,-19.0,8,True,False,False,False,-0.6689141200830441
Bullish Counterattack,2018-05,53,22,31,0,0.4151,0.2926,0.5491,-0.1698,-1.0,-0.1698,-0.434,0.0943,0.7097,-10.0,5,True,False,False,False,-0.6773294911066139
Bearish Engulfing,2018-07,85,36,49,0,0.4235,0.324,0.5296,-0.1529,-1.0,-0.1529,-0.3647,0.0588,0.7347,-19.0,8,True,False,False,False,-0.6810697015971613
Three White Soldiers,2018-10,37,15,22,0,0.4054,0.2635,0.5651,-0.1892,-1.0,-0.1892,-0.5135,0.1351,0.6818,-10.0,7,True,False,False,False,-0.6882313014202321
Morning Star,2018-02,42,17,25,0,0.4048,0.2704,0.5551,-0.1905,-1.0,-0.1905,-0.4762,0.0952,0.68,-11.0,4,True,False,False,False,-0.7165086220396236
Shooting Star,2018-03,35,14,21,0,0.4,0.2555,0.5643,-0.2,-1.0,-0.2,-0.4857,0.0871,0.6667,-12.0,7,True,False,False,False,-0.716703787691222
Bearish Kicker,2018-11,40,16,24,0,0.4,0.2635,0.554,-0.2,-1.0,-0.2,-0.5,0.1,0.6667,-11.0,4,True,False,False,False,-0.7427144133408616
Evening Doji Star,2018-06,59,24,35,0,0.4068,0.2909,0.5341,-0.1864,-1.0,-0.1864,-0.4237,0.0508,0.6857,-15.0,7,True,False,False,False,-0.7631858263981995
Bearish Kicker,2018-02,189,80,109,0,0.4233,0.3551,0.4946,-0.1534,-1.0,-0.1534,-0.291,-0.0053,0.7339,-33.0,7,True,True,False,False,-0.8048934926694187
Bullish Engulfing,2018-01,86,35,51,0,0.407,0.3093,0.5126,-0.186,-1.0,-0.186,-0.3953,0.0233,0.6863,-18.0,6,True,False,False,False,-0.8306589100697526
Evening Star,2018-05,32,12,20,0,0.375,0.2293,0.5475,-0.25,-1.0,-0.25,-0.5625,0.125,0.6,-12.0,7,True,False,False,False,-0.8741268903666201
Bullish Counterattack,2018-07,49,19,30,0,0.3878,0.2643,0.5275,-0.2245,-1.0,-0.2245,-0.4694,0.0612,0.6333,-12.0,10,True,False,False,False,-0.8782491647186188
Bullish Counterattack,2018-02,49,19,30,0,0.3878,0.2643,0.5275,-0.2245,-1.0,-0.2245,-0.5102,0.0612,0.6333,-10.0,6,True,False,False,False,-0.8782491647186188
Evening Star,2018-03,30,11,19,0,0.3667,0.2187,0.5449,-0.2667,-1.0,-0.2667,-0.6,0.0667,0.5789,-10.0,4,True,False,False,False,-0.9158443874361885
Morning Doji Star,2018-02,61,23,38,0,0.377,0.2661,0.5025,-0.2459,-1.0,-0.2459,-0.4754,-0.0156,0.6053,-17.0,7,True,False,False,False,-1.014862345282588
Bearish Kicker,2018-10,44,15,29,0,0.3409,0.2188,0.4886,-0.3182,-1.0,-0.3182,-0.5909,-0.0455,0.5172,-15.0,10,True,False,False,False,-1.2112800042449157
Piercing Line,2018-04,34,10,24,0,0.2941,0.1683,0.4617,-0.4118,-1.0,-0.4118,-0.7059,-0.1176,0.4167,-14.0,7,True,False,False,False,-1.4640923317213406
