pattern,month,n,wins,losses,no_hit,win_rate,win_rate_wilson_lo,win_rate_wilson_hi,avg_r,median_r,expectancy_r,expectancy_r_boot_ci_lo,expectancy_r_boot_ci_hi,profit_factor,max_drawdown_r,max_losing_streak,n_ge_30,n_ge_100,n_ge_300,low_sample_warning,research_rank_score
Bearish Harami,2018-09,5,3,2,0,0.6,0.2307,0.8824,0.2,1.0,0.2,,,1.5,-1.0,2,False,False,False,True,
Three Outside Down,2018-09,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Bearish Separating Lines,2018-09,3,3,0,0,1.0,0.4385,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Upside Gap Two Crows,2018-09,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Bearish Separating Lines,2018-10,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,0.0,1,False,False,False,True,
Bullish Separating Lines,2018-10,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Bearish Counterattack,2018-10,7,3,4,0,0.4286,0.1582,0.7495,-0.1429,-1.0,-0.1429,,,0.75,-2.0,2,False,False,False,True,
Hammer,2018-10,9,6,3,0,0.6667,0.3542,0.8794,0.3333,1.0,0.3333,,,2.0,-2.0,2,False,False,False,True,
Three Inside Down,2018-11,3,2,1,0,0.6667,0.2077,0.9385,0.3333,1.0,0.3333,,,2.0,-1.0,1,False,False,False,True,
Dark Cloud Cover,2018-11,7,3,4,0,0.4286,0.1582,0.7495,-0.1429,-1.0,-0.1429,,,0.75,-2.0,3,False,False,False,True,
Hanging Man,2018-11,6,3,3,0,0.5,0.1876,0.8124,0.0,0.0,0.0,,,1.0,-2.0,2,False,False,False,True,
Hammer,2018-12,3,0,3,0,0.0,0.0,0.5615,-1.0,-1.0,-1.0,,,0.0,-2.0,3,False,False,False,True,
Bearish Counterattack,2018-12,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Bullish Engulfing,2018-12,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-2.0,2,False,False,False,True,
Tweezer Top,2018-12,4,1,3,0,0.25,0.0456,0.6994,-0.5,-1.0,-0.5,,,0.3333,-2.0,3,False,False,False,True,
Piercing Line,2018-12,4,2,2,0,0.5,0.15,0.85,-0.0,-0.0,-0.0,,,1.0,-1.0,1,False,False,False,True,
Bearish Engulfing,2018-12,6,2,4,0,0.3333,0.0968,0.7,-0.3333,-1.0,-0.3333,,,0.5,-3.0,2,False,False,False,True,
Three White Soldiers,2019-01,12,9,3,0,0.75,0.4677,0.9111,0.5,1.0,0.5,0.0,1.0,3.0,-3.0,3,False,False,False,True,
Morning Star,2019-01,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,-1.0,1,False,False,False,True,
Piercing Line,2019-01,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Tweezer Bottom,2019-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Bullish Separating Lines,2019-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Tweezer Top,2019-01,4,2,2,0,0.5,0.15,0.85,0.0,-0.0,0.0,,,1.0,-1.0,1,False,False,False,True,
Bullish Counterattack,2019-02,2,2,0,0,1.0,0.3424,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Evening Star,2019-02,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Bearish Counterattack,2019-02,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Three Black Crows,2019-02,7,2,5,0,0.2857,0.0822,0.6411,-0.4286,-1.0,-0.4286,,,0.4,-2.0,3,False,False,False,True,
Three Black Crows,2019-03,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Bearish Counterattack,2019-03,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Three Black Crows,2019-04,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,1,False,False,False,True,
Tweezer Top,2019-04,3,3,0,0,1.0,0.4385,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Three White Soldiers,2019-04,5,4,1,0,0.8,0.3755,0.9638,0.6,1.0,0.6,,,4.0,-1.0,1,False,False,False,True,
Morning Star,2019-04,2,2,0,0,1.0,0.3424,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Inverted Hammer,2019-04,5,4,1,0,0.8,0.3755,0.9638,0.6,1.0,0.6,,,4.0,-1.0,1,False,False,False,True,
Dark Cloud Cover,2019-04,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,0.0,1,False,False,False,True,
Evening Doji Star,2019-04,5,1,4,0,0.2,0.0362,0.6245,-0.6,-1.0,-0.6,,,0.25,-3.0,3,False,False,False,True,
Evening Star,2019-04,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Bearish Separating Lines,2019-04,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Bearish Kicker,2019-05,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Tweezer Top,2019-05,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,2,False,False,False,True,
Bearish Engulfing,2019-05,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,0.0,1,False,False,False,True,
Three Outside Down,2019-05,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Three Inside Up,2018-04,8,4,4,0,0.5,0.2152,0.7848,-0.0,-0.0,-0.0,,,1.0,-2.0,2,False,False,False,True,
Bullish Harami,2018-04,4,3,1,0,0.75,0.3006,0.9544,0.5,1.0,0.5,,,3.0,-1.0,1,False,False,False,True,
Bearish Harami,2018-06,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Bullish Harami,2018-05,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-2.0,2,False,False,False,True,
Hanging Man,2018-09,7,6,1,0,0.8571,0.4869,0.9743,0.7143,1.0,0.7143,,,6.0,-1.0,1,False,False,False,True,
Bullish Harami,2018-10,2,2,0,0,1.0,0.3424,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Evening Star,2018-11,8,2,6,0,0.25,0.0715,0.5907,-0.5,-1.0,-0.5,,,0.3333,-3.0,3,False,False,False,True,
Three Inside Up,2018-11,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Three Outside Up,2018-11,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,-1.0,1,False,False,False,True,
Bearish Harami,2018-03,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,0.0,1,False,False,False,True,
Dark Cloud Cover,2018-12,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,0.0,1,False,False,False,True,
Hanging Man,2019-01,4,1,3,0,0.25,0.0456,0.6994,-0.5,-1.0,-0.5,,,0.3333,-1.0,2,False,False,False,True,
Inverted Hammer,2019-01,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Morning Doji Star,2019-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Bearish Separating Lines,2019-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Bullish Engulfing,2019-02,3,3,0,0,1.0,0.4385,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Hanging Man,2019-02,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Morning Doji Star,2019-02,3,0,3,0,0.0,0.0,0.5615,-1.0,-1.0,-1.0,,,0.0,-2.0,3,False,False,False,True,
Inverted Hammer,2019-02,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Bullish Counterattack,2019-03,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Tweezer Bottom,2019-04,3,2,1,0,0.6667,0.2077,0.9385,0.3333,1.0,0.3333,,,2.0,0.0,1,False,False,False,True,
Bullish Harami,2019-04,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Piercing Line,2019-05,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,-1.0,1,False,False,False,True,
Three Black Crows,2019-05,3,0,3,0,0.0,0.0,0.5615,-1.0,-1.0,-1.0,,,0.0,-2.0,3,False,False,False,True,
Bullish Kicker,2019-05,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,1,False,False,False,True,
Bullish Counterattack,2019-05,2,2,0,0,1.0,0.3424,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Three Inside Down,2018-03,4,1,3,0,0.25,0.0456,0.6994,-0.5,-1.0,-0.5,,,0.3333,-2.0,3,False,False,False,True,
Upside Gap Two Crows,2018-03,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Bearish Harami,2018-10,3,2,1,0,0.6667,0.2077,0.9385,0.3333,1.0,0.3333,,,2.0,0.0,1,False,False,False,True,
Three Inside Down,2018-10,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,0.0,1,False,False,False,True,
Three Outside Down,2018-10,3,2,1,0,0.6667,0.2077,0.9385,0.3333,1.0,0.3333,,,2.0,-1.0,1,False,False,False,True,
Bullish Harami,2018-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Inverted Hammer,2018-12,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Three Black Crows,2018-12,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,-1.0,1,False,False,False,True,
Morning Doji Star,2018-12,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Bullish Counterattack,2019-01,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Hammer,2019-01,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Dark Cloud Cover,2019-02,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,0.0,1,False,False,False,True,
Evening Doji Star,2019-02,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Three Outside Up,2019-02,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Shooting Star,2019-02,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-2.0,2,False,False,False,True,
Inverted Hammer,2019-03,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Bearish Counterattack,2019-04,2,0,2,0,0.0,0.0,0.6576,-1.0,-1.0,-1.0,,,0.0,-1.0,2,False,False,False,True,
Three Outside Up,2019-04,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Morning Doji Star,2019-04,3,1,2,0,0.3333,0.0615,0.7923,-0.3333,-1.0,-0.3333,,,0.5,-1.0,1,False,False,False,True,
Tweezer Bottom,2019-05,2,1,1,0,0.5,0.0945,0.9055,-0.0,-0.0,-0.0,,,1.0,0.0,1,False,False,False,True,
Morning Star,2019-05,2,2,0,0,1.0,0.3424,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Evening Star,2019-05,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,0.0,1,False,False,False,True,
Three Outside Up,2019-05,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Three Outside Up,2018-08,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Three Inside Up,2018-09,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Three Outside Up,2019-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Bearish Harami,2019-01,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Shooting Star,2019-01,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
Three Outside Down,2019-03,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Hanging Man,2019-03,1,1,0,0,1.0,0.2065,1.0,1.0,1.0,1.0,,,inf,0.0,0,False,False,False,True,
Bullish Counterattack,2019-04,2,1,1,0,0.5,0.0945,0.9055,0.0,0.0,0.0,,,1.0,0.0,1,False,False,False,True,
Inverted Hammer,2019-05,1,0,1,0,0.0,0.0,0.7935,-1.0,-1.0,-1.0,,,0.0,0.0,1,False,False,False,True,
